Name,Age,Race,Gender,Occupation,Crime,Method,Death,Coordinates,County,Source1,Source2,Source3,,,
Johnnie Outlaw,27,Black,Male,Laborer,Murder-Robbery,Electrocution,Mar 1 1946,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10175,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/january-6-1946-page-12-80/docview/1899451924/se-2?accountid=33208,,,
George Douglas,20,Black,Male,Cafe Porter,Rape,Electrocution,July 5 1946,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/9590,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.proquest.com/historical-newspapers/june-20-1946-page-8-26/docview/1899465407/,,,
,,,,,,,,,,,,se-2?accountid=33208 ,,,
 Fred Jackson,18,Black,Male,Student,Murder-Rape,Electrocution,Aug 11 1947,POINT (35.1837942 -089.8953970),Shelby,Espy Project Execution Records (albany.edu),https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,Fred Jackson (1929-1947) - Find a Grave Memorial,,,
Bruce Watson,25,Black,Male,?,Rape,Electrocution,June 10 1949,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/10437,https://soapboxie.com/government/Death-Penalty-Tennessee-Executed-Stories,https://www.findagrave.com/memorial/175744310/bruce-edward-watson,,,
Sedley Adler,?,White,Male,?,Murder-Robbery,Lethal Injection,June 28 2006,POINT (35.1837942 -089.8953970),Shelby,https://archives.albany.edu/espy/catalog/8349,https://www.tncourts.gov/media/capital-cases/cases/sedley-alley,http://murderpedia.org/male.A/a1/alley-sedley.htm,,,
Philip Workman,?,White,Male,?,Murder-Rape,Lethal Injection,May 9 2007,POINT (35.1837942 -089.8953970),Shelby,http://murderpedia.org/male.W/w1/workman-philip-ray.htm,https://www.tncourts.gov/media/capital-cases/cases/philip-workman,https://academic-accelerator.com/encyclopedia/philip-workman,,,
John Hill,?,White,Male,?,Murder,Hanging,Jan 10 1905,POINT (35.5002588 -089.7668030),Tipton,https://chroniclingamerica.loc.gov/lccn/sn96091104/1905-02-10/ed-1/seq-4/ocr/,https://chroniclingamerica.loc.gov/lccn/sn96091104/1912-03-08/ed-1/seq-4/ocr/,https://archives.albany.edu/espy/catalog/9876,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jacob Pickering,?,White,Male,Jailer,Murder,Hanging,Jul 13 1811,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10187  ,https://archive.org/details/historyoftenness00good_1/page/n913/mode/2up?q=pickering,,,,
Stewart Thornton,?,White,Male,Tailor,Murder,Hanging,Jul 13 1811,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10187  ,https://archive.org/details/historyoftenness00good_1/page/n913/mode/2up?q=pickering,,,,
John Lusk,?,?,Male,?,Rape,Hanging,Jun 26 1820,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10010ÿÿ,ttps://newscomse.newspapers.com/image/585942998 ÿ,,,,
Jacob (Bradford),?,Black,Male,Slave,Murder,Hanging,Unknown 1842,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9977ÿÿ,https://newscomse.newspapers.com/image/603841038 ,,,,
 Willis Carroll,?,White,Male,?,Murder-Robbery,Hanging,Feb 10 1843,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9568  ,https://lawcat.berkeley.edu/record/417598 ,,,,
 Archibald Kirby,?,White,Male,?,Murder,Hanging,Feb 10 1843,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9996  ,https://lawcat.berkeley.edu/record/417598ÿ,,,,
Zebadiah Payne,?,White,Male,?,Murder-Robbery,Hanging,Feb 10 1843,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10181ÿÿ,https://lawcat.berkeley.edu/record/417598ÿ,,,,
Alec,?,Black,Male,Slave,Murder,Hanging,Apr 17 1852,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10459ÿÿ,https://archives.albany.edu/espy/catalog/10458ÿÿ,,,,
Jerry,?,Black,Male,Slave,Murder,Hanging,Apr 17 1852,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10459ÿÿ,https://archives.albany.edu/espy/catalog/10458ÿÿ,,,,
Bob,?,Black,Male,Slave,Murder,Hanging,Apr 17 1852,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10459ÿÿ,https://archives.albany.edu/espy/catalog/10458ÿÿ,,,,
Champ Ferguson,?,White,Male,?,Guerilla Activit,Hanging,Jan 21 1865,POINT (36.1691287 -086.7847898),Davidson,https://tennesseeencyclopedia.net/entries/samuel-ferguson/ÿÿ,https://www.tennessee-scv.org/champ.htmlÿÿ,https://www.tnvacation.com/civil-war/person/45/samuel-champ-ferguson/ÿÿ,,,
George Crab,17,White,Male,Govt Employee,Murder-Robbery,Hanging,Jan 26 1866,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10468,https://chroniclingamerica.loc.gov/lccn/sn83025718/1866-01-27/ed-1/seq-3/#date1=1860&index=0&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn85033306/1866-02-10/ed-1/seq-1/#date1=1860&index=1&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
James Lysaught,17,White,Male,Govt Employee,Murder-Robbery,Hanging,Jan 26 1866,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10469,https://chroniclingamerica.loc.gov/lccn/sn83025718/1866-01-27/ed-1/seq-3/#date1=1860&index=0&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn85033306/1866-02-10/ed-1/seq-1/#date1=1860&index=1&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Thomas Ferry,,White,Male,Govt Employee,Murder-Robbery,Hanging,Jan 26 1866,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10470ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn83025718/1866-01-27/ed-1/seq-3/#date1=1860&index=0&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn85033306/1866-02-10/ed-1/seq-1/#date1=1860&index=1&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
James Knight,17,White,Male,Govt Employee,Murder-Robbery,Hanging,Jan 26 1866,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10471,https://chroniclingamerica.loc.gov/lccn/sn83025718/1866-01-27/ed-1/seq-3/#date1=1860&index=0&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn85033306/1866-02-10/ed-1/seq-1/#date1=1860&index=1&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Charles Ward,?,White,Male,Miller,Murder,?,Unknown 1966,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10664ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn85038521/1866-12-14/ed-1/seq-3/#date1=1860&index=7&rows=20&words=Charles+Ward&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=charles+ward&y=24&x=20&dateFilterType=yearRange&page=1 ,https://chroniclingamerica.loc.gov/lccn/sn85033306/1866-02-10/ed-1/seq-1/#date1=1860&index=1&rows=20&words=Lysaught&searchType=basic&sequence=0&state=Tennessee&date2=1870&proxtext=Lysaught&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Bill Kelly,?,?,Male,?,?,Hanging,May 9 1874,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9989ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn85033699/1874-02-20/ed-1/seq-4/#date1=1860&index=0&rows=20&words=Bill+Kelly&searchType=basic&sequence=0&state=Tennessee&date2=1880&proxtext=bill+kelly&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn83045160/1874-05-09/ed-1/seq-1/#date1=1860&index=1&rows=20&words=Bill+Kelly&searchType=basic&sequence=0&state=Tennessee&date2=1880&proxtext=bill+kelly&y=0&x=0&dateFilterType=yearRange&page=1 ,,,
 Knox Martin,?,Black,Male,?,Murder,Hanging,Mar 28 1879,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10015,https://chroniclingamerica.loc.gov/lccn/sn83045160/1879-03-29/ed-1/seq-1/#date1=1870&index=0&rows=20&words=Knox+Martin&searchType=basic&sequence=0&state=Tennessee&date2=1880&proxtext=knox+martin&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn85033437/1879-01-19/ed-1/seq-4/#date1=1870&index=2&rows=20&words=Knox+Martin&searchType=basic&sequence=0&state=Tennessee&date2=1880&proxtext=knox+martin&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Ben Brown,?,Black,Male,?,Murder,Hanging,Apr 15 1887,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9557,https://chroniclingamerica.loc.gov/lccn/sn88061082/1886-02-06/ed-1/seq-3/#date1=1880&index=0&rows=20&words=Ben+Brown&searchType=basic&sequence=0&state=Tennessee&date2=1890&proxtext=ben+brown&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn86090474/1886-02-06/ed-1/seq-4/#date1=1880&index=1&rows=20&words=Ben+Brown&searchType=basic&sequence=0&state=Tennessee&date2=1890&proxtext=ben+brown&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Larkin Lancaster,?,Black,Male,?,Murder,Hanging,Apr 19 1892,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9999,https://chroniclingamerica.loc.gov/lccn/sn88061072/1892-04-20/ed-1/seq-1/#date1=1880&index=1&rows=20&words=Lancaster+Larkin&searchType=basic&sequence=0&state=Tennessee&date2=1895&proxtext=larkin+lancaster&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn97065075/1892-04-22/ed-1/seq-3/#date1=1880&index=2&rows=20&words=Lancaster+Larkin&searchType=basic&sequence=0&state=Tennessee&date2=1895&proxtext=larkin+lancaster&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Abe Petaway,?,Black,Male,?,Murder-Robbery,Hanging,Jul 18 1901,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10184ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn89058321/1901-06-21/ed-1/seq-2/#date1=1890&index=0&rows=20&words=Babe+Battise&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=Babe+Battise&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn89058007/1901-05-17/ed-1/seq-1/#date1=1890&index=1&rows=20&words=Babe+Battise&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=Babe+Battise&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Babe Battise,?,Black,Male,?,Murder,Hanging,Jul 18 1901,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9341ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn89058321/1901-06-21/ed-1/seq-2/#date1=1890&index=0&rows=20&words=Babe+Battise&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=Babe+Battise&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn89058007/1901-05-17/ed-1/seq-1/#date1=1890&index=1&rows=20&words=Babe+Battise&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=Babe+Battise&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Decur Thompson,?,Black,Male,Saloon Owner,Murder,Hanging,Jul 18 1901,POINT (36.1691287 -086.7847898),Davidson,https://chroniclingamerica.loc.gov/lccn/sn89058321/1901-06-21/ed-1/seq-2/#date1=1890&index=0&rows=20&words=Babe+Battise&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=Babe+Battise&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn89058007/1901-05-17/ed-1/seq-1/#date1=1890&index=1&rows=20&words=Babe+Battise&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=Babe+Battise&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn87060190/1901-07-19/ed-1/seq-4/#date1=1770&index=0&rows=20&words=Duser+Thompson&searchType=basic&sequence=0&state=&date2=1963&proxtext=duser+thompson&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
James Scudder,51,Black,Male,?,Murder,Hanging,Apr 5 1905,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10290ÿÿ,,,,,
Andrew Hibbert,?,Black,Male,?,Murder,Hanging,Apr 5 1905,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9874ÿÿ,,,,,
Pat Mulloy,?,Black,Male,?,Murder-Robbery,Hanging,May 9 1913,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10165ÿ,https://chroniclingamerica.loc.gov/lccn/sn89058154/1913-04-25/ed-1/seq-2/#date1=1900&index=0&rows=20&words=MULLOY+Mulloy+Pat+PAT&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=pat+mulloy&y=0&x=0&dateFilterType=yearRange&page=1ÿ,https://chroniclingamerica.loc.gov/lccn/sn86064259/1913-05-16/ed-1/seq-5/#date1=1900&index=1&rows=20&words=Mulloy+Pat&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=pat+mulloy&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Frank Ewing,?,Black,Male,?,Rape,Electrocution,May 21 1919,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9828ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn85038531/1919-05-21/ed-1/seq-4/#date1=1900&sort=date&rows=20&words=Ewing+Frank&searchType=basic&sequence=0&index=3&state=Tennessee&date2=1963&proxtext=Frank+Ewing&y=0&x=0&dateFilterType=yearRange&page=4ÿ,,,,
Herman Coggin,29,White,Male,Waiter,Rape,Electrocution,Nov 10 1927,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9574ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1898697706/FF6B680F87114B48PQ/2?accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1898697910/FF6B680F87114B48PQ/3?accountid=33208ÿ,,,
Will Terrell,22,Black,Male,Laborer,Rape,Electrocution,Jun 19 1928,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10416ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/pagelevelimagepdf/1898701166/pagelevelImagePDF/$N/1?t:lb=t&accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1898696974/22B5CA90A93148C7PQ/10?accountid=33208ÿ,,,
Henry Brown,,Black,Male,?,Rape,Electrocution,Aug 22 1928,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9558ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1898705539/74B06544C29B4268PQ/14?accountid=33208ÿ,,,,
John Shaw,26,Black,Male,?,Murder-Rape,Electrocution,Jul 3 1933,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10292ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1898911965/488E9D99590D4206PQ/25?accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1898911387/F0039EDBDB7B4363PQ/636?accountid=33208ÿ,,,
Andrew Wilcoxen,26,Black,Male,Laborer,Rape,Electrocution,Sep 7 1933,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9552,,,,,
Louis Willis,27,Black,Male,Convict,Murder,Electrocution,Jan 28 1936,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10448ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899095213/A10A576F159D4EF6PQ/1177?accountid=33208ÿ,https://newscomse.newspapers.com/image/605241189/?terms=%22louis%20willis%22%20&pqsid=kqfLdpMGCpED5p8KX_Pnkw%3A947943%3A561632794&match=1ÿ,,,
James Taylor,25,Black,Male,Domestic Servant,Rape-Robbery,Electrocution,Mar 15 1937,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10412ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899130591/986E4785FE9B4413PQ/3082?accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899133749/986E4785FE9B4413PQ/3085?accountid=33208ÿ,,,
Tom Franklin,20,Black,Male,?,Murder-Robbery,Electrocution,Mar 18 1937,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9836ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899130611/FD55F6D494CA4D7CPQ/3222?accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899132082/FD55F6D494CA4D7CPQ/3225?accountid=33208ÿ,,,
William Farmer,19,White,Male,Ex Reformatory,Murder-Robbery,Electrocution,Apr 30 1937,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/concern/daos/mk61s1427?locale=enÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899098132/D210D35459064AACPQ/621?accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899098192/D210D35459064AACPQ/626?accountid=33208ÿ,,,
Howard Dunn,22,White,Male,Ex Reformatory,Murder-Robbery,Electrocution,Apr 30 1937,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/concern/daos/mk61s1427?locale=enÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899098132/D210D35459064AACPQ/621?accountid=33208ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899098192/D210D35459064AACPQ/626?accountid=33208ÿ,,,
Jimmie Parrish,35,Black,Male,?,Rape,Electrocution,Aug 9 1937,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10178ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899140697/F944022CA8AF4162PQ/2?accountid=33208ÿ,,,,
Fred Ritchie,32,White,Male,?,Murder,Electrocution,Aug 10 1937,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10200  ,https://www.newspapers.com/article/the-jackson-sun-elsie-m-obrien-richie-m/15348919/,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899140697/F944022CA8AF4162PQ/2?accountid=33208 ,,,
 Frank Murray,19,Black,Male,?,Murder-Robbery,Electrocution,Mar 28 1939,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9983ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899182169/D340895616A749A5PQ/5?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899156124/D340895616A749A5PQ/10?accountid=33208,,,
Herman Johnson,22,Black,Male,?,Murder-Robbery,Electrocution,Mar 28 1939,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9983ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899182169/D340895616A749A5PQ/5?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899156124/D340895616A749A5PQ/10?accountid=33208,,,
Hubert Harris,22,Black,Male,?,Murder-Robbery,Electrocution,Apr 4 1939,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9865ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899187082/34E416E08B0648B0PQ/1?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899180430/34E416E08B0648B0PQ/2?accountid=33208,,,
Willie Williams,33,Black,Male,?,Murder-Robbery,Electrocution,Apr 15 1939,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10447ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899187129/8AB55F0516D64E5APQ/41?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899183637/8AB55F0516D64E5APQ/47?accountid=33208,,,
James Tucker,29,White,Male,Vocational Stu,Murder,Electrocution,Jul 15 1943,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10422ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899366001/9D8AD4D6985F462BPQ/5?accountid=33208,https://archives.albany.edu/concern/daos/wh247893j?locale=enÿÿ,,,
George Hambrick,,Black,Male,Convict,Murder,Electrocution,Apr 24 1945,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9858ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899398820/86355E81958F457CPQ/1?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899383562/86355E81958F457CPQ/3?accountid=33208,,,
John Hodge Jr,28,Black,Male,Escaped Convict,Rape,Electrocution,Jun 19 1947,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9877ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899593852/38EDDF41029A47FFPQ/8?accountid=33208,,,,
Tommy Taylor,,Black,Male,?,Rape,Electrocution,Aug 31 1948,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10413ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899593507/CB1FFCB33E934C92PQ/1?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899598867/CB1FFCB33E934C92PQ/2?accountid=33208,,,
James Scribner,25,Black,Male,?,Rape,Electrocution,Aug 31 1948,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10205ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899593507/CB1FFCB33E934C92PQ/1?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899598867/CB1FFCB33E934C92PQ/2?accountid=33208,,,
William Turner,21,Black,Male,?,Rape,Electrocution,Aug 31 1948,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10428ÿÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899593507/CB1FFCB33E934C92PQ/1?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899598867/CB1FFCB33E934C92PQ/2?accountid=33208,,,
Samuel Voss,29,Black,Male,?,Murder-Robbery,Electrocution,Apr 15 1955,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/10430ÿ,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899975781/2951E7A41715455BPQ/1?accountid=33208,https://www.proquest.com/hnpnashvilletennesseanshell/docview/1899917005/2951E7A41715455BPQ/2?accountid=33208,,,
Robert Crenshaw,41,Black,Male,Ex Convict,Rape,Electrocution,Sep 15 1955,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/9581ÿÿ,https://newscomse.newspapers.com/image/587548756/?terms=robert%20crenshaw&pqsid=cDbvjBjirasGnHVPhMW_bQ%3A10135%3A1499805165&match=1,https://newscomse.newspapers.com/image/605374300/?terms=%22robert%20crenshaw%22%20&pqsid=cDbvjBjirasGnHVPhMW_bQ%3A54005%3A209466610&match=1,,,
Jimmy Allen,36,Black,Male,Interior Decorat,Murder,Electrocution,Mar 15 1957,POINT (36.1691287 -086.7847898),Davidson,https://archives.albany.edu/espy/catalog/8957ÿ,https://newscomse.newspapers.com/image/603949905/?terms=jimmy%20allen&pqsid=cDbvjBjirasGnHVPhMW_bQ%3A99347%3A509441526&match=1,https://newscomse.newspapers.com/image/603947160/?terms=jimmy%20allen&pqsid=cDbvjBjirasGnHVPhMW_bQ%3A136288%3A760153235&match=1,,,
,,,,,,,,,,,,,,,
John Vann,ÿ?,White,Male,?,Horse Stealing,Horse Stealing,Sep 10 1782,,?,https://archives.albany.edu/espy/catalog/10477,https://www.gutenberg.org/cache/epub/70636/pg70636-images.html,,,,
Isaac Chote,ÿ?,White,Male,?,Horse Stealing,Horse Stealing,Sep 10 1782,,?,https://archives.albany.edu/espy/catalog/10692,,,,,
William White,ÿ?,White,Male,?,Horse Stealing,Horse Stealing,Sep 10 1782,,?,https://www.carolana.com/NC/Counties/washington1_county_nc.html,,,,,
Clyde Arwood,24ÿ,White,Male,?,Murder,Murder,Aug 14 1943,,?,https://en.wikipedia.org/wiki/Clyde_Arwood,https://casetext.com/case/arwood-v-united-states,,,,
Jacob Harris,ÿ?,?,Male,?,Murder,Murder,Dec 29 1877,POINT (36.1167307 -84.1954177),Anderson,https://archives.albany.edu/espy/catalog/9866,https://chroniclingamerica.loc.gov/lccn/sn88061082/1877-11-17/ed-1/seq-2/#date1=1876&index=2&rows=20&words=Harris+Jacob&searchType=basic&sequence=0&state=Tennessee&date2=1878&proxtext=jacob+harris&y=14&x=13&dateFilterType=yearRange&page=1,https://newscomse.newspapers.com/image/587085930/?terms=jacob%20harris&pqsid=6lwpv1FHVpSFNRvyGYut4g%3A325329%3A1352693660&match=1,,,
Mynatt Leach,ÿ?,?,Male,Miner,Murder,Murder,Dec 8 1897,POINT (36.1167307 -84.1954177),Anderson,https://case-law.vlex.com/vid/leach-v-state-929804149,https://www.findagrave.com/memorial/24574063/gordon-mynatt-leach/photo,,,,
John Mcclure,26,White,Male,Bootlegger,Murder-Robbery,Murder-Robbery,Mar 1 1922,POINT (36.1167307 -84.1954177),Anderson,https://virginiachronicle.com/?a=d&d=NPO19220114.2.60&e=-------en-20--1--txt-txIN--------,https://chroniclingamerica.loc.gov/lccn/sn99065781/1921-08-10/ed-1/seq-1/#date1=1921&index=0&rows=20&words=John+McClure&searchType=basic&sequence=0&state=Tennessee&date2=1923&proxtext=john+mcclure&y=16&x=12&dateFilterType=yearRange&page=1,https://archives.albany.edu/espy/catalog/10465,,,
